"n","dates","x","y","mag","event_id","Cluster_Number","cluster_ref","ms_ref","sig.mag","optional"
646,237855600,14.3,46.2833,4.43,646,0,0,0,0.19,TRUE
647,238546800,14.8667,41.3167,4.19,647,0,0,0,0.19,TRUE
648,240447600,17.1333,38.6,5.21,648,0,0,0,0.1,TRUE
649,240793200,12.3167,42.6667,4.25,649,81,0,1,0.25,TRUE
651,241570800,8.1833,38.2333,5.44,651,0,0,0,0.1,TRUE
654,244422000,11.2,39.0833,4.43,654,0,0,0,0.25,TRUE
655,250905600,10.2333,44.5167,4.04,655,0,0,0,0.23,TRUE
656,251424000,15.55,38.4333,4.79,656,0,0,0,0.31,TRUE
657,252288000,15.35,39.9,5.9,657,82,0,1,0.1,TRUE
659,252460800,17.4544,43.2573,5.13,659,83,0,1,0.27,TRUE
660,252460800,16.1833,43.1833,4.42,660,0,0,0,0.25,TRUE
661,252547200,16.3667,42.6833,4.9,661,0,0,0,0.25,TRUE
662,252547200,15.0545,43.9476,4,662,0,0,0,0.25,TRUE
663,254016000,13.3667,37.1167,4.44,663,0,0,0,0.23,TRUE
664,255744000,14.9,41.1333,4.29,664,0,0,0,0.19,TRUE
665,255916800,13.0833,43.7,4.08,665,0,0,0,0.19,TRUE
666,256348800,14.2333,37.8,4.14,666,0,0,0,0.23,TRUE
667,256435200,16.8791,43.9314,4.27,667,0,0,0,0.25,TRUE
668,257040000,9.7382,46.5571,4.12,668,0,0,0,0.25,TRUE
669,257040000,14.9167,37.7167,4.14,669,0,0,0,0.23,TRUE
670,258422400,16.1833,37.9667,5.22,670,84,0,1,0.1,TRUE
672,259455600,16.8333,43.6333,4.74,672,0,0,0,0.17,TRUE
673,259887600,12.6667,42.7167,4.15,673,0,0,0,0.19,TRUE
675,260406000,9.45,42.1667,4.28,675,85,0,1,0.17,TRUE
679,261097200,13.1667,42.2167,4.09,679,0,0,0,0.19,TRUE
681,261442800,15.1,38.2667,6.03,681,86,0,1,0.1,TRUE
688,262652400,13.8667,39.2333,4.26,688,0,0,0,0.32,TRUE
691,264207600,14.9833,37.6833,4.04,691,0,0,0,0.23,TRUE
697,267577200,15.6333,39.1833,4.07,697,0,0,0,0.23,TRUE
699,271119600,12.4167,42.6333,4.78,699,87,0,1,0.18,TRUE
700,271810800,15.9167,38.6667,4.34,700,0,0,0,0.24,TRUE
701,272934000,14.0333,37.9,4.54,701,88,0,1,0.23,TRUE
703,274921200,16.9191,43.8815,4.33,703,0,0,0,0.25,TRUE
704,275439600,16.1167,40.6667,5.05,704,0,0,0,0.18,TRUE
707,279072000,13.1167,41.2,4.06,707,0,0,0,0.25,TRUE
709,280022400,12.9333,42.4333,4.52,709,89,0,1,0.25,TRUE
712,281664000,12.8167,43.0667,4.3,712,0,0,0,0.19,TRUE
713,281664000,12.1167,44.3833,4.61,713,0,0,0,0.1,TRUE
714,282268800,12.7333,46.2667,4.42,714,0,0,0,0.19,TRUE
715,282441600,13.4333,38.6333,4.14,715,90,0,1,0.23,TRUE
716,282700800,17.3167,43.35,4.92,716,0,0,0,0.16,TRUE
717,283392000,11.1167,44.9167,4.11,717,0,0,0,0.19,TRUE
718,283564800,13.4833,41.1333,5.75,718,0,0,0,0.1,TRUE
720,284601600,15.7833,44.1333,4.31,720,0,0,0,0.19,TRUE
722,285638400,12.85,38.5167,4.87,722,91,0,1,0.1,TRUE
723,286070400,13.15,42.8167,4.48,723,92,0,1,0.17,TRUE
725,287366400,9.4667,45.6167,4.68,725,0,0,0,0.18,TRUE
726,290905200,10.0667,44.3,4.01,726,0,0,0,0.25,TRUE
727,290905200,15.9167,38.7,4.79,727,0,0,0,0.28,TRUE
729,291164400,15.1833,39.1667,4.68,729,0,0,0,0.18,TRUE
732,292460400,10.05,36.9167,4.64,732,94,0,1,0.23,TRUE
737,292978800,16.75,43.1,4.24,737,0,0,0,0.19,TRUE
741,293238000,14.2833,45.5333,4.03,741,0,0,0,0.25,TRUE
742,293238000,13.2167,46.3,4.66,742,0,0,0,0.1,TRUE
755,296348400,18.75,42.1167,6.17,755,93,0,1,0.1,TRUE
762,296434800,18.85,41.1333,4.74,762,0,0,0,0.23,TRUE
768,297039600,12.9333,43.0333,4.03,768,0,0,0,0.25,TRUE
772,297298800,15.35,41.8333,4.07,772,0,0,0,0.25,TRUE
779,299890800,16.6833,44.0333,4.74,779,95,0,1,0.13,TRUE
781,300150000,17,42.0333,4.67,781,0,0,0,0.19,TRUE
783,301705200,17.2333,43.4333,4.29,783,0,0,0,0.25,TRUE
788,306543600,12.95,42.7167,5.83,788,96,0,1,0.1,TRUE
793,306716400,14.65,38.7667,4.57,793,0,0,0,0.22,TRUE
795,311644800,9.95,45.7167,4.32,795,0,0,0,0.22,TRUE
796,311990400,15.7833,44.1833,4.05,796,0,0,0,0.25,TRUE
797,313459200,11.5167,37.85,5.48,797,97,0,1,0.25,TRUE
803,315878400,7.3333,45.0167,4.82,803,0,0,0,0.1,TRUE
804,318470400,14.9167,38.2833,4.57,804,0,0,0,0.27,TRUE
805,319334400,11.4833,44.3333,4.26,805,0,0,0,0.19,TRUE
806,319852800,16.15,39.2833,4.42,806,98,0,1,0.1,TRUE
810,320716800,16.45,38.9,4.26,810,99,0,1,0.27,TRUE
812,321408000,16.1333,39.8333,4.71,812,0,0,0,0.1,TRUE
816,323996400,13.2167,36.9833,4.34,816,100,0,1,0.23,TRUE
817,325292400,13.4667,40.4667,4.21,817,0,0,0,0.16,TRUE
818,327106800,15.8333,40.35,4.83,818,0,0,0,0.1,TRUE
821,328316400,13.3,42.1167,4.17,821,0,0,0,0.19,TRUE
822,328316400,14.2709,38.4838,5.66,822,101,0,1,0.1,TRUE
831,329180400,10.6,44.05,4.64,831,0,0,0,0.1,TRUE
832,329353200,13.85,42.2333,4.64,832,0,0,0,0.1,TRUE
834,329785200,13.6833,41.7667,4.96,834,102,0,1,0.1,TRUE
836,330476400,17.3833,43.0167,4.58,836,0,0,0,0.1,TRUE
837,336351600,16.9333,43.9167,4.4,837,0,0,0,0.25,TRUE
838,337215600,11.0167,42.6333,4.17,838,0,0,0,0.25,TRUE
839,339202800,13.1667,41.6833,4.18,839,0,0,0,0.19,TRUE
840,339634800,8.7167,44.7667,4.14,840,0,0,0,0.23,TRUE
841,339807600,17.65,42.9333,4.8,841,0,0,0,0.19,TRUE
842,340239600,13,39.7,4.36,842,0,0,0,0.33,TRUE
843,342316800,15.1333,37.65,4.04,843,0,0,0,0.23,TRUE
844,343785600,15.3667,40.8,6.81,844,103,0,1,0.1,TRUE
861,343872000,14.35,39.3667,4.54,861,0,0,0,0.23,TRUE
866,343872000,14.794,39.991,4.1,866,0,0,0,0.25,TRUE
869,343958400,15.8522,40.0477,4.16,869,0,0,0,0.25,TRUE
891,344563200,6.1691,45.8659,4.83,891,0,0,0,0.27,TRUE
898,345168000,16.1667,38.7333,4.67,898,0,0,0,0.1,TRUE
901,346377600,9.85,44.8167,4.57,901,0,0,0,0.1,TRUE
902,346464000,12.8698,37.109,4.39,902,0,0,0,0.17,TRUE
911,353635200,15.1535,37.1582,4,911,0,0,0,0.5,TRUE
914,355273200,14.9207,38.3432,4.7,914,104,0,1,0.5,TRUE
915,356742000,8.5697,43.6848,4.43,915,0,0,0,0.1,TRUE
917,360716400,12.47,37.67,4.93,917,0,0,0,0.1,TRUE
918,361753200,16.4995,38.3077,4,918,0,0,0,0.5,TRUE
919,362012400,13.6283,38.3552,4.77,919,0,0,0,0.1,TRUE
920,366505200,17.33,44.86,5.66,920,0,0,0,0.1,TRUE
925,376358400,12.702,46.2698,4.19,925,0,0,0,0.18,TRUE
926,385084800,16.2303,46.1905,4.68,926,0,0,0,0.1,TRUE
927,385516800,15.7477,39.8342,5.23,927,0,0,0,0.1,TRUE
928,397436400,7.8825,44.9987,4.15,928,0,0,0,0.24,TRUE
933,403657200,12.8455,43.1932,4.65,933,105,0,1,0.1,TRUE
937,406252800,19.54,40.98,5.6,937,0,0,0,0.1,TRUE
938,410400000,14.5518,41.0688,4.05,938,0,0,0,0.18,TRUE
939,410400000,9.4245,45.965,4.27,939,0,0,0,0.16,TRUE
941,413683200,13.4145,46.2728,4.32,941,0,0,0,0.16,TRUE
942,418258800,12.986,38.3925,4.33,942,0,0,0,0.27,TRUE
943,421628400,14.5875,37.9855,4.21,943,0,0,0,0.27,TRUE
945,423442800,15.1213,37.4745,4.17,945,106,0,1,0.33,TRUE
947,427590000,11.3133,45.8558,4.42,947,0,0,0,0.16,TRUE
948,428108400,15.245,40.7342,4.36,948,0,0,0,0.18,TRUE
949,429490800,13.8608,41.709,4.76,949,0,0,0,0.1,TRUE
950,431046000,12.7338,37.6857,4.1,950,0,0,0,0.27,TRUE
951,433638000,14.8585,40.401,4.34,951,0,0,0,0.18,TRUE
952,433724400,16.0575,41.695,4.02,952,0,0,0,0.18,TRUE
953,434070000,13.984,40.7003,4.06,953,0,0,0,0.18,TRUE
954,434588400,12.3068,39.0637,4.1,954,0,0,0,0.27,TRUE
955,437184000,10.3423,44.6525,5.04,955,0,0,0,0.1,TRUE
956,448675200,15.18,39.4,5.21,956,0,0,0,0.1,TRUE
957,450831600,15.5682,37.1848,4.21,957,0,0,0,0.27,TRUE
958,450831600,14.2007,46.8508,4.78,958,0,0,0,0.27,TRUE
959,451436400,10.2292,43.5587,4.61,959,107,0,1,0.1,TRUE
961,452041200,12.5853,43.204,5.62,961,108,0,1,0.1,TRUE
966,452732400,13.8202,41.6657,5.86,966,109,0,1,0.1,TRUE
980,453250800,17.73,42.93,5.42,980,0,0,0,0.1,TRUE
982,454374000,13.422,38.4988,4.08,982,0,0,0,0.21,TRUE
983,454374000,12.5635,39.6122,4.08,983,0,0,0,0.21,TRUE
985,456447600,6.6265,44.2797,4.08,985,0,0,0,0.21,TRUE
986,456447600,15.2255,37.5688,4.1,986,0,0,0,0.27,TRUE
987,456793200,16.668,39.4845,4.1,987,0,0,0,0.27,TRUE
990,457484400,14.1468,40.8682,4.1,990,0,0,0,0.27,TRUE
991,466902000,15.3152,37.8813,4.26,991,0,0,0,0.21,TRUE
993,467506800,15.245,37.4912,4.44,993,110,0,1,0.27,TRUE
994,468460800,6.6138,45.2777,4.11,994,0,0,0,0.21,TRUE
996,474681600,19.22,40.69,5.17,996,0,0,0,0.1,TRUE
997,475286400,10.4493,44.0857,4.46,997,0,0,0,0.16,TRUE
999,483750000,13.7003,42.9455,4.02,999,0,0,0,0.18,TRUE
1001,485391600,13.353,42.2978,4.4,1001,111,0,1,0.16,TRUE
1003,492303600,12.8763,38.5835,4.21,1003,0,0,0,0.27,TRUE
1004,492390000,13.1098,38.161,4.44,1004,0,0,0,0.27,TRUE
1005,492908400,18.06,47.05,5.14,1005,0,0,0,0.1,TRUE
1006,492908400,9.6303,44.6052,4.45,1006,0,0,0,0.18,TRUE
1007,493772400,12.7312,37.8875,4.1,1007,0,0,0,0.27,TRUE
1008,497142000,15.8295,38.1687,4.1,1008,0,0,0,0.27,TRUE
1009,499215600,15.8543,41.7005,4.1,1009,0,0,0,0.27,TRUE
1010,499215600,6.75,36.4,5.8,1010,0,0,0,0.1,TRUE
1011,501379200,19.32,41.72,5.51,1011,0,0,0,0.1,TRUE
1012,501638400,12.0078,43.7355,4.1,1012,0,0,0,0.27,TRUE
1013,501724800,16.7202,39.5495,4.1,1013,0,0,0,0.27,TRUE
1014,501724800,18.75,42.3,4.62,1014,0,0,0,0.1,TRUE
1015,504316800,15.2403,37.8792,4.55,1015,0,0,0,0.27,TRUE
1016,504403200,15.3633,37.5533,4.44,1016,0,0,0,0.27,TRUE
1020,505785600,15.7892,42.6217,4.82,1020,112,0,1,0.18,TRUE
1022,522457200,15.7462,40.6282,4.66,1022,0,0,0,0.18,TRUE
1023,525654000,12.5317,46.3438,4.73,1023,113,0,1,0.1,TRUE
1025,527468400,15.8662,39.3925,4.93,1025,0,0,0,0.33,TRUE
1026,528159600,15.2773,38.7367,5.25,1026,0,0,0,0.33,TRUE
1027,528505200,10.1257,44.2772,4.47,1027,0,0,0,0.1,TRUE
1028,529542000,13.1863,42.9242,4.21,1028,0,0,0,0.27,TRUE
1029,530146800,14.15,43.3152,4.07,1029,0,0,0,0.18,TRUE
1030,530928000,15.1127,37.8602,4.1,1030,0,0,0,0.27,TRUE
1031,533260800,16.41,44.14,5.54,1031,114,0,1,0.1,TRUE
1032,534211200,11.5432,45.0037,4.16,1032,0,0,0,0.18,TRUE
1033,535075200,14.9772,45.1242,4.47,1033,0,0,0,0.1,TRUE
1035,538272000,10.188,43.5417,4.02,1035,0,0,0,0.18,TRUE
1036,538790400,15.5548,40.835,4.54,1036,0,0,0,0.1,TRUE
1037,538876800,12.7975,36.2435,4.21,1037,0,0,0,0.27,TRUE
1038,539222400,14.7118,37.747,4.55,1038,0,0,0,0.27,TRUE
1039,539913600,10.1872,44.2347,4.06,1039,0,0,0,0.18,TRUE
1040,545094000,12.7008,41.5385,4.21,1040,0,0,0,0.27,TRUE
1042,546908400,10.6942,44.801,4.71,1042,115,0,1,0.1,TRUE
1043,547426800,11.1572,44.8617,4.44,1043,116,0,1,0.27,TRUE
1044,548809200,10.6682,45.7263,4.66,1044,0,0,0,0.27,TRUE
1045,548809200,15.2618,39.4072,4.17,1045,0,0,0,0.33,TRUE
1046,549932400,14.1958,37.7007,4.21,1046,0,0,0,0.27,TRUE
1047,551919600,15.3522,42.5875,4.55,1047,0,0,0,0.27,TRUE
1048,552265200,13.9025,43.1985,5.06,1048,117,0,1,0.1,TRUE
1051,552438000,12.1985,43.6697,4.44,1051,0,0,0,0.1,TRUE
1053,552870000,10.9305,46.002,4.12,1053,0,0,0,0.21,TRUE
1055,553820400,8.7317,45.0988,4.82,1055,0,0,0,0.33,TRUE
1056,555807600,15.0017,37.9118,4.76,1056,0,0,0,0.1,TRUE
1057,557449200,15.5563,40.6873,4.1,1057,0,0,0,0.27,TRUE
1061,562377600,9.1392,47.1393,4.02,1061,0,0,0,0.21,TRUE
1062,568598400,15.9402,40.0115,4.7,1062,0,0,0,0.1,TRUE
1063,568684800,19.6,41.24,5.9,1063,0,0,0,0.1,TRUE
1064,568944000,15.4612,40.308,4.19,1064,0,0,0,0.21,TRUE
1065,570672000,13.5572,46.4663,4.94,1065,0,0,0,0.21,TRUE
1066,570931200,14.66,47.003,4.39,1066,0,0,0,0.21,TRUE
1067,571276800,10.426,44.098,4.08,1067,0,0,0,0.16,TRUE
1068,571276800,10.3975,42.1395,4.3,1068,0,0,0,0.21,TRUE
1069,574387200,10.7242,44.8338,4.44,1069,0,0,0,0.21,TRUE
1071,575679600,14.7325,38.4462,4.26,1071,0,0,0,0.21,TRUE
1072,576889200,16.8798,39.6823,4.55,1072,0,0,0,0.21,TRUE
1073,578012400,16.6572,42.2107,5.36,1073,118,0,1,0.1,TRUE
1074,578012400,18.163,41.3917,4.17,1074,0,0,0,0.33,TRUE
1075,578012400,17.2162,42.6617,4.17,1075,0,0,0,0.33,TRUE
1080,582073200,12.957,35.853,4.24,1080,0,0,0,0.21,TRUE
1081,582678000,14.9942,37.8218,4.02,1081,0,0,0,0.21,TRUE
1082,587689200,9.8548,44.475,4.08,1082,0,0,0,0.21,TRUE
1083,588294000,17.44,43.7,4.64,1083,0,0,0,0.1,TRUE
1084,588380400,15.5058,42.0243,4.11,1084,0,0,0,0.21,TRUE
1085,5.94e+08,15.1712,37.7613,4.6,1085,0,0,0,0.21,TRUE
1087,600048000,11.69,35.59,5.13,1087,119,0,1,0.1,TRUE
1088,603331200,14.8363,44.8688,4.19,1088,0,0,0,0.21,TRUE
1089,605577600,15.3335,41.747,4.21,1089,0,0,0,0.27,TRUE
1090,612399600,15.733,40.5425,4.35,1090,0,0,0,0.21,TRUE
1091,615423600,12.9283,40.599,4.22,1091,0,0,0,0.21,TRUE
1092,615942000,12.2093,43.6707,4.02,1092,0,0,0,0.21,TRUE
1093,617497200,15.1187,37.7393,4.13,1093,0,0,0,0.21,TRUE
1095,619743600,10.2978,38.0217,4.06,1095,0,0,0,0.33,TRUE
1096,621644400,11.2375,45.8233,4.85,1096,0,0,0,0.1,TRUE
1097,621644400,8.6735,44.8562,4.55,1097,0,0,0,0.24,TRUE
1098,622594800,19.49,41.29,4.41,1098,0,0,0,0.1,TRUE
1099,623113200,7.3393,46.2732,4.11,1099,0,0,0,0.21,TRUE
1100,623372400,10.0588,44.4617,4.17,1100,0,0,0,0.21,TRUE
1102,623631600,15.6815,42.1185,4.59,1102,120,0,1,0.21,TRUE
1103,624754800,12.7157,41.7058,4.15,1103,121,0,1,0.21,TRUE
1105,625795200,15.3172,37.7143,4.11,1105,0,0,0,0.21,TRUE
1106,627264000,11.6322,47.4918,4.37,1106,0,0,0,0.21,TRUE
1108,627609600,15.792,38.1077,4.08,1108,0,0,0,0.21,TRUE
1109,630288000,12.706,42.991,4.44,1109,122,0,1,0.1,TRUE
1110,630633600,7.6763,43.6338,4.46,1110,0,0,0,0.21,TRUE
1111,633139200,16.9605,39.129,4.43,1111,0,0,0,0.1,TRUE
1112,633830400,15.6492,42.1408,4.43,1112,123,0,1,0.1,TRUE
1113,634694400,7.3927,44.9653,4.55,1113,0,0,0,0.16,TRUE
1115,635299200,16.5193,42.052,4.24,1115,0,0,0,0.1,TRUE
1116,637545600,15.0227,37.6507,4.04,1116,0,0,0,0.21,TRUE
1117,638578800,14.9835,38.1872,4.34,1117,0,0,0,0.16,TRUE
1118,639097200,17.4,43.42,4.75,1118,0,0,0,0.1,TRUE
1119,640134000,7.7667,43.6418,4.17,1119,0,0,0,0.21,TRUE
1121,641862000,15.8818,40.6495,5.77,1121,124,0,1,0.1,TRUE
1125,649378800,17.81,43.02,4.6,1125,0,0,0,0.1,TRUE
1128,652316400,15.8648,45.8985,4.82,1128,125,0,1,0.1,TRUE
1129,657158400,14.67,36.23,4.79,1129,0,0,0,0.1,TRUE
1130,658281600,14.0472,46.1355,4.59,1130,0,0,0,0.16,TRUE
1131,659664000,16.63,43.87,5.54,1131,0,0,0,0.1,TRUE
1132,661046400,15.3125,37.3132,5.61,1132,126,0,1,0.1,TRUE
1133,661132800,15.5652,39.2683,5.3,1133,0,0,0,0.1,TRUE
1135,663811200,11.853,43.7812,4.22,1135,0,0,0,0.16,TRUE
1136,666230400,6.7177,44.8512,4.33,1136,0,0,0,0.1,TRUE
1137,667526400,13.9248,40.0222,5.29,1137,0,0,0,0.1,TRUE
1138,670291200,16.3565,39.3997,4.02,1138,0,0,0,0.21,TRUE
1139,670978800,14.5373,37.8513,4.26,1139,0,0,0,0.21,TRUE
1140,671929200,16.8047,40.4015,4.13,1140,0,0,0,0.16,TRUE
1141,672706800,15.052,46.2512,4.15,1141,0,0,0,0.21,TRUE
1142,675212400,15.8217,40.689,5.08,1142,0,0,0,0.1,TRUE
1143,676594800,12.881,46.2657,4.35,1143,0,0,0,0.21,TRUE
1144,676940400,17.0497,38.7933,4.23,1144,0,0,0,0.16,TRUE
1145,682642800,15.0077,37.8958,4.49,1145,0,0,0,0.33,TRUE
1146,684198000,15.5102,37.9608,4.04,1146,0,0,0,0.21,TRUE
1147,684284400,18.75,42.16,4.39,1147,0,0,0,0.1,TRUE
1148,686444400,15.2743,38.7952,4.04,1148,0,0,0,0.21,TRUE
1149,686617200,12.0188,46.6807,4.66,1149,0,0,0,0.21,TRUE
1150,688867200,9.9978,44.9393,4.54,1150,0,0,0,0.16,TRUE
1151,690595200,9.3875,46.7623,5.36,1151,127,0,1,0.19,TRUE
1152,692755200,16.0738,39.1633,4.26,1152,0,0,0,0.16,TRUE
1153,692755200,14.9635,37.7227,4.69,1153,0,0,0,0.16,TRUE
1154,695606400,16.6333,39.6345,4.04,1154,0,0,0,0.21,TRUE
1156,698630400,14.3235,45.4988,4.31,1156,0,0,0,0.16,TRUE
1157,702514800,14.5173,37.8517,4.73,1157,0,0,0,0.1,TRUE
1158,703465200,11.0117,44.4327,4.15,1158,0,0,0,0.16,TRUE
1159,704156400,14.9607,38.5845,5.12,1159,0,0,0,0.1,TRUE
1160,705279600,9.5415,47.1658,4.41,1160,128,0,1,0.1,TRUE
1162,707007600,11.4092,44.1527,4.01,1162,0,0,0,0.18,TRUE
1163,707871600,18.81,43.84,4.33,1163,0,0,0,0.1,TRUE
1164,708217200,14.8757,45.8595,4.06,1164,0,0,0,0.21,TRUE
1165,711241200,14.2082,42.3012,4.22,1165,0,0,0,0.1,TRUE
1166,713055600,13.1268,37.3463,4.08,1166,0,0,0,0.21,TRUE
1167,714265200,17.8868,38.789,4.17,1167,0,0,0,0.21,TRUE
1168,714697200,13.3553,42.4112,4.02,1168,0,0,0,0.21,TRUE
1169,714956400,15.466,39.6267,4.53,1169,0,0,0,0.16,TRUE
1170,717548400,14.5887,37.8093,4.28,1170,0,0,0,0.16,TRUE
1171,719881200,13.2518,42.6185,4.04,1171,0,0,0,0.16,TRUE
1172,720921600,15.9218,41.5618,4.36,1172,0,0,0,0.16,TRUE
1173,722563200,18.0075,38.1465,4.33,1173,0,0,0,0.27,TRUE
1174,724896000,11.5672,36.9322,4.35,1174,0,0,0,0.21,TRUE
1175,727228800,12.21,43.6142,4.31,1175,0,0,0,0.21,TRUE
1176,734482800,7.5558,44.473,4.06,1176,0,0,0,0.33,TRUE
1177,738630000,15.2807,45.585,4.64,1177,0,0,0,0.16,TRUE
1178,738889200,16.47,46.17,4.68,1178,0,0,0,0.1,TRUE
1180,739234800,12.7245,43.1213,4.72,1180,129,0,1,0.1,TRUE
1181,740012400,8.2837,45.9642,4.13,1181,0,0,0,0.21,TRUE
1182,741049200,14.1642,38.0337,4.93,1182,0,0,0,0.1,TRUE
1183,742258800,10.2263,47.28,4.28,1183,0,0,0,0.33,TRUE
1184,742863600,8.2453,44.1993,4.66,1184,0,0,0,0.27,TRUE
1185,744937200,17.1012,39.5173,4.55,1185,0,0,0,0.21,TRUE
1186,747615600,12.4,35,5.25,1186,0,0,0,0.1,TRUE
1187,750380400,14.861,37.821,4.24,1187,0,0,0,0.16,TRUE
1188,752457600,12.2053,44.1942,4.06,1188,0,0,0,0.33,TRUE
1189,753494400,10.8605,42.634,4,1189,0,0,0,0.16,TRUE
1190,754358400,14.9618,38.7877,4.22,1190,0,0,0,0.16,TRUE
1191,755395200,10.1675,45.7735,4.03,1191,0,0,0,0.16,TRUE
1192,756691200,19.78,40.18,4.84,1192,0,0,0,0.1,TRUE
1193,757728000,15.409,38.9748,5.82,1193,0,0,0,0.1,TRUE
1194,757900800,17.3013,40.1845,4.03,1194,0,0,0,0.16,TRUE
1195,759024000,7.34,44.5543,4.33,1195,0,0,0,0.21,TRUE
1196,764208000,15.7075,39.6717,5.03,1196,0,0,0,0.1,TRUE
1197,764640000,16.775,38.9138,4.52,1197,0,0,0,0.16,TRUE
1198,765068400,10.1483,47.2303,4.82,1198,0,0,0,0.33,TRUE
1199,766796400,12.5805,46.3233,4.12,1199,0,0,0,0.1,TRUE
1200,766969200,14.9015,45.1748,4.16,1200,0,0,0,0.19,TRUE
1201,768178800,14.189,37.6518,4.34,1201,0,0,0,0.16,TRUE
1203,770511600,13.2265,42.4763,4.29,1203,130,0,1,0.21,TRUE
1204,773535600,14.997,38.3315,4,1204,0,0,0,0.21,TRUE
1205,774918000,14.0428,41.3775,4.71,1205,0,0,0,0.33,TRUE
1206,776214000,13.3478,41.9938,4.22,1206,0,0,0,0.16,TRUE
1207,776214000,15.6948,45.6437,4.71,1207,0,0,0,0.33,TRUE
1208,776386800,12.9978,36.2498,4.86,1208,0,0,0,0.21,TRUE
1209,779756400,9.17,36.46,4.73,1209,0,0,0,0.1,TRUE
1210,781916400,15.3838,39.6675,4.49,1210,0,0,0,0.16,TRUE
1211,782956800,11.1947,45.9872,4.12,1211,0,0,0,0.16,TRUE
1212,783302400,9.2147,45.0087,4,1212,0,0,0,0.21,TRUE
1213,783734400,15.1473,44.9073,4.06,1213,0,0,0,0.33,TRUE
1214,785894400,14.9102,38.369,4.08,1214,0,0,0,0.21,TRUE
1215,787363200,6.5022,45.9148,4.54,1215,0,0,0,0.16,TRUE
1216,789436800,19.95,37.92,4.94,1216,0,0,0,0.1,TRUE
1217,791078400,9.9817,37.5288,4.06,1217,0,0,0,0.33,TRUE
1218,791596800,11.1822,43.6638,4.93,1218,0,0,0,0.33,TRUE
1219,792374400,14.983,37.696,4.24,1219,0,0,0,0.21,TRUE
1220,794188800,10.0063,44.3662,4.24,1220,0,0,0,0.16,TRUE
1221,794620800,15.5528,37.8152,4.06,1221,0,0,0,0.21,TRUE
1222,797554800,13.8588,37.625,4.22,1222,0,0,0,0.21,TRUE
1223,798418800,7.5812,43.781,4.42,1223,0,0,0,0.21,TRUE
1224,800319600,15.2927,43.2093,4.16,1224,0,0,0,0.16,TRUE
1226,801097200,14.2337,45.5973,4.48,1226,131,0,1,0.1,TRUE
1227,801702000,12.1453,38.1332,4.78,1227,0,0,0,0.1,TRUE
1228,801702000,16.0477,40.2722,4.22,1228,0,0,0,0.16,TRUE
1229,805762800,17.41,42.75,4.87,1229,0,0,0,0.1,TRUE
1230,806454000,14.5953,38.5303,4.63,1230,0,0,0,0.18,TRUE
1231,807836400,16.5172,39.6997,4.48,1231,0,0,0,0.16,TRUE
1232,809218800,10.6697,44.1165,4.45,1232,0,0,0,0.1,TRUE
1233,809305200,17.64,45.37,4.73,1233,0,0,0,0.1,TRUE
1234,809478000,15.1795,38.3123,4.31,1234,0,0,0,0.16,TRUE
1235,811724400,8.25,35.33,5.34,1235,0,0,0,0.1,TRUE
1236,812242800,18.09,42.65,5.17,1236,0,0,0,0.1,TRUE
1237,812415600,15.9712,41.7903,5.15,1237,0,0,0,0.1,TRUE
1238,813279600,9.9978,44.1097,4.82,1238,0,0,0,0.1,TRUE
1239,814924800,9.849,45.7173,4.39,1239,0,0,0,0.16,TRUE
1240,816480000,8.5937,47.1537,4.18,1240,0,0,0,0.16,TRUE
1241,818121600,15.1822,43.272,4.34,1241,0,0,0,0.16,TRUE
1242,818467200,7.9542,44.7063,4.28,1242,0,0,0,0.33,TRUE
1243,820108800,12.1052,44.1295,4,1243,0,0,0,0.21,TRUE
1244,820108800,13.4063,36.7147,4.28,1244,0,0,0,0.16,TRUE
1245,820195200,13.3032,36.3882,4.66,1245,0,0,0,0.16,TRUE
1246,820368000,10.5667,44.4223,4.51,1246,0,0,0,0.1,TRUE
1247,820454400,13.445,43.0618,4.19,1247,132,0,1,0.21,TRUE
1249,823132800,19.86,37.76,5.29,1249,0,0,0,0.07,TRUE
1250,824342400,12.4928,36.251,4.1,1250,0,0,0,0.12,TRUE
1251,824774400,17.24,44.51,4.99,1251,0,0,0,0.07,TRUE
1252,825206400,15.7918,38.7335,4.78,1252,0,0,0,0.07,TRUE
1254,828230400,7.4737,45.7723,4.49,1254,0,0,0,0.16,TRUE
1255,828486000,15.454,40.6612,4.9,1255,0,0,0,0.07,TRUE
1256,829350000,12.5927,46.3163,4.76,1256,133,0,1,0.16,TRUE
1257,830386800,12.8367,36.3762,4.6,1257,0,0,0,0.33,TRUE
1258,830559600,16.4543,39.4933,4.7,1258,0,0,0,0.12,TRUE
1259,833583600,16.857,39.9913,4.06,1259,0,0,0,0.19,TRUE
1260,833756400,18.0223,38.0905,4.47,1260,0,0,0,0.14,TRUE
1261,835916400,9.9883,47.1515,4.08,1261,0,0,0,0.16,TRUE
1262,836866800,14.1203,42.8757,4.2,1262,0,0,0,0.16,TRUE
1263,836953200,12.338,43.3828,4.82,1263,0,0,0,0.33,TRUE
1264,837298800,14.9188,37.8018,4.12,1264,0,0,0,0.14,TRUE
1265,837385200,6.015,45.8873,5.06,1265,0,0,0,0.21,TRUE
1266,841878000,17.94,42.8,5.82,1266,134,0,1,0.07,TRUE
1270,845334000,10.6787,44.7988,5.38,1270,135,0,1,0.07,TRUE
