"n","dates","x","y","mag","event_id","Cluster_Number","cluster_ref","ms_ref","sig.mag","optional"
135,-149043600,14.1,39.1,4.36,135,0,0,0,0.44,TRUE
137,-146624400,10.5,44.3,4.46,137,20,0,1,0.34,TRUE
146,-144810000,12.8,42.8667,4.57,146,21,0,1,0.47,TRUE
147,-144118800,11.1,43.5,4.07,147,0,0,0,0.38,TRUE
148,-141526800,11.4,47.3,4.26,148,0,0,0,0.27,TRUE
149,-140662800,16.3,39.5,4.24,149,0,0,0,0.23,TRUE
150,-139194000,10.1,44.4667,4.3,150,22,0,1,0.34,TRUE
151,-139194000,12.3,43.6,4.72,151,0,0,0,0.16,TRUE
152,-139194000,11.95,43.8333,4.57,152,0,0,0,0.23,TRUE
153,-137898000,13.1,46.1,5.24,153,23,0,1,0.25,TRUE
156,-134182800,16.25,39.25,4,156,0,0,0,0.34,TRUE
157,-132627600,19.1,39.7,4.73,157,0,0,0,0.27,TRUE
158,-132195600,7.4667,46.3167,4.57,158,24,0,1,0.25,TRUE
159,-130809600,9.5,44.3,4,159,0,0,0,0.34,TRUE
160,-130809600,10.3,44.4,4.16,160,0,0,0,0.22,TRUE
162,-130550400,13.5,42.1,4.39,162,0,0,0,0.27,TRUE
163,-127440000,12,44.4,4.57,163,0,0,0,0.25,TRUE
164,-127008000,14.9,40.3667,4.16,164,0,0,0,0.22,TRUE
165,-124675200,6.5,45.75,4.54,165,0,0,0,0.23,TRUE
166,-124329600,12.5,45.9667,4.51,166,0,0,0,0.22,TRUE
167,-123379200,14.8833,38.5167,4.16,167,0,0,0,0.26,TRUE
169,-118285200,10.9,44.8,4.1,169,25,0,1,0.34,TRUE
170,-117939600,7.4,44.3,4.16,170,0,0,0,0.31,TRUE
171,-113706000,11.5,43.5,4.16,171,0,0,0,0.31,TRUE
172,-113706000,11.2,44.5,4.44,172,0,0,0,0.23,TRUE
173,-111632400,14.2,46.1,4.07,173,0,0,0,0.41,TRUE
174,-110163600,15.6,40.9,4.36,174,0,0,0,0.23,TRUE
175,-109818000,13.4,46.4,4.3,175,0,0,0,0.34,TRUE
176,-108090000,17.8,43.1,4.36,176,0,0,0,0.23,TRUE
179,-107485200,18.6,41.6,4.36,179,0,0,0,0.44,TRUE
180,-106275600,18.65,42.18,5.53,180,26,0,1,0.25,TRUE
186,-101350800,13.6333,41.65,4.44,186,27,0,1,0.23,TRUE
187,-101005200,17.7,43.2,4.46,187,0,0,0,0.45,TRUE
188,-101005200,12.2,44,4.36,188,0,0,0,0.25,TRUE
189,-90892800,15.1,38.4833,4.26,189,0,0,0,0.25,TRUE
190,-90115200,16,43.85,5.15,190,0,0,0,0.54,TRUE
191,-87613200,7.45,46.5,4.36,191,28,0,1,0.33,TRUE
192,-86749200,10.75,44.8,5.02,192,29,0,1,0.39,TRUE
194,-85712400,16.12,44.32,4.26,194,0,0,0,0.43,TRUE
197,-81565200,14.8833,38.65,4.16,197,0,0,0,0.24,TRUE
198,-80269200,16.2,41.6,4.46,198,0,0,0,0.26,TRUE
199,-77850000,8.8,46.6833,4.04,199,0,0,0,0.23,TRUE
200,-76554000,15.2,40.8333,4.14,200,0,0,0,0.23,TRUE
201,-76122000,17.62,42.81,4.57,201,0,0,0,0.24,TRUE
202,-75258000,10.4,46.9,4.26,202,0,0,0,0.25,TRUE
203,-75171600,15.1,38.8,4.57,203,0,0,0,0.21,TRUE
204,-73184400,15.3,37.9,4.36,204,0,0,0,0.25,TRUE
205,-72234000,18.6,37.5,4.26,205,0,0,0,0.32,TRUE
206,-71888400,18.6,41.2,4.26,206,0,0,0,0.27,TRUE
207,-71715600,9.4,46,4.79,207,0,0,0,0.49,TRUE
208,-71110800,10.95,44.5667,4.16,208,0,0,0,0.26,TRUE
209,-71024400,13.7667,41.55,4.36,209,30,0,1,0.28,TRUE
211,-70765200,14.0667,41.25,4.8,211,0,0,0,0.34,TRUE
212,-70506000,7.1,46.5,4.46,212,0,0,0,0.45,TRUE
213,-68515200,14.3667,37.8,5.02,213,0,0,0,0.2,TRUE
214,-65664000,13.6,42.3,4.68,214,31,0,1,0.29,TRUE
217,-65145600,16.5,42.5,4.94,217,0,0,0,0.23,TRUE
218,-63331200,12.1,45,5.42,218,0,0,0,0.13,TRUE
220,-62812800,12.55,42.3333,4.36,220,32,0,1,0.41,TRUE
221,-62294400,12,44.4,4.57,221,0,0,0,0.25,TRUE
228,-61948800,13.1,37.7,5.67,228,33,0,1,0.23,TRUE
230,-61948800,16,37,4.34,230,0,0,0,0.23,TRUE
259,-60739200,13.5,43.6,4.3,259,0,0,0,0.34,TRUE
261,-59529600,17.8,38,5.4,261,0,0,0,0.21,TRUE
264,-56163600,16,40.3,4.16,264,0,0,0,0.39,TRUE
268,-53830800,8.0167,44.0833,4.07,268,0,0,0,0.26,TRUE
270,-53571600,14.9,40,4.44,270,34,0,1,0.23,TRUE
271,-53226000,9.8,46.6,4.16,271,0,0,0,0.31,TRUE
272,-52448400,8.5833,44.8333,4.04,272,0,0,0,0.23,TRUE
273,-51152400,15.5,38.7,4.85,273,0,0,0,0.14,TRUE
275,-49165200,17.5,43.1,4.57,275,35,0,1,0.35,TRUE
276,-48733200,14.8,37.8,5.15,276,0,0,0,0.4,TRUE
